content	label
甲同学：“你知道雨果吗？” 乙同学：“不知道。” 甲同学：“你连雨果都不知道，白读一回书了！” 乙同学：“对不起，我从来没吃过，是哪里出产的？”	2
食人族的巨富带儿子出国旅游，在飞机上，儿子问爸爸：“飞机上怎么这么多人？” 爸爸答道：“老天爷总是保佑我们。” 儿子：“那架飞机也能吃吗？” 父亲：“飞机跟龙虾差不多，得把皮儿拨掉，吃里面的肉！	2
妈妈看见女儿眼球红得很厉害，便带她去看眼科医生。 医生对妈妈说：“因为眼睛感染了细菌，所以导致全球发炎……” 女儿问妈妈：“妈妈，他是不是说我的眼睛发炎，就会影响全球啊？”	2
好多女孩不理解，为什么这么多男生喜欢看欧洲杯？ 原因很简单：亚洲杯、非洲杯、美洲杯都是A-Cup，而欧洲杯是E-Cup。	2
杰姆考试作弊被抓到了，你听说了吗？ 是怎么一回事？ 他考试时，用手伸进衣服里数自己的肋骨。 那又怎么了？多天是人体解剖课考试。	3
有个二货去理发店理发，他对理发师说： 把我左边头发剪的能盖住耳垂，右边头发剪成平头， 前面的头发剪成正方形光头，又能使后面头发从前面拉过来能到下巴。 理发师说：对不起我做不到。 他对理发师怒吼：上次就是你他妈把我头发理成这样的！！！	3
一个少年长得很秀美，风度极佳。许多富贵人家部想攀他做女婿。 其中一家更派人直接对他说：我家小姐貌美贤良，想与你攀亲！ 少年深深鞠躬说：能够高攀大户是很幸运的，不过这件事还得与妻子商量一下！	3
某日，一个医生、一个建筑师和一个律师在一家乡俱乐部吃午饭，他们的话题扯到了各自的狗身上，想在比一下谁的狗最聪明。医生的狗首先开始，它从门外衔来一些骨头在地上摆了一幅人体骨骼图。医生给了它一些饼干作为奖励。建筑师的狗从外面衔来一些树枝在地上搭了个艾菲尔铁塔的模型，建筑师也给了它一些饼干作为奖励。最后，律师的狗出场了，它与医生和建筑师的狗交谈了一番，那两只狗便都把饼干都给了它。律师解释说，他的狗现在是那两只狗的法律顾问了。	3
正统年间，有个侍郎（六部副长官）和一个都御史（监察官）一同喝酒，正巧见一只狗围绕餐桌兜来转去，仆人一齐叱骂它。 侍郎说：不要责骂，它在这里巡按（调查监察官吏的政绩）呢。 都御中应答道：你看它是狗也是狼（1侍郎）。 近年，都宪似锺与通政强珍也一同喝酒，强珍手擎酒壶向似锺劝酒：要你喝四锺。（四1似） 似锺说：你不要强斟。（1强珍）	1
去邮局存话费，我前面那个mm的背影很是诱人，左摇右晃从侧面偷看，的确是个看起来非常清纯可爱的小美女。遂趁其报号存话费的时候偷偷记下她的手机号码。晚上回去无聊，于是给mm发短信：妹妹你好，交个朋友咋样？ ——你是？ ——今天存话费排你后面的那个帅哥*^_^* ——哦，不好意思，昨晚XX时间太长，今早起不来了，是我女朋友去帮我存的话费！	3
有个兄弟追女朋友，每天早上一包心形饼干和一瓶牛奶。坚持不懈，终于到手。 一天早上他又带着心形饼干去看女朋友，女友就问：“你这饼干哪买的？我去了好多超市，就是买不到这种形状的。” 他自豪道：“那当然找不到啦，这是我啃出来的……”	3
女模特儿照例来到画室等画家，画家一进来她就到更衣室准备脱衣工作。可画家说：今天免了，我不舒服，不想画。你留下来，咱们喝杯咖啡如何？模特儿说：好啊。这时熟悉的脚步声已经到达门口。 喔，老天！画家说，我太太来啦，你快去脱衣服，我们马上开始工作，要快！	3
一个富翁在豪华宾馆住了一个星期，当他离开时，这里的伙计们恭候在大门两边，盼着这个富翁能赏给他们点什么。然而，这这个富翁却大摇大摆地从大门中穿过，对两边的人连正眼也不看一下。 他身后的搬运工替他把行李搬到汽车上，壮着胆子走到他的面前，伸出手说：“我想，你大概不会忘了我吧？” 富翁紧紧握住搬运工的手，一本正经地说：“当然，我怎么会忘了你呢？以后我会经常给你写信的！”	3
老王在公园遛狗，不料在一僻静处晕倒，不省人事。 幸亏他的狗及时叫来了医生，才使他转危为安。 事后，人们都夸老王的狗聪明，老王却无奈的说：“聪明什么呀，那天他叫来的其实……是一名兽医。”	3
一天，妈妈问儿子：“你长大了想当什么？” 儿子不加思索地答道：“当爸爸。” 妈妈反问：“为什么要当爸爸？” 儿子高兴地说：“当了爸爸，就可以天天搂着妈妈睡觉了！”	3
教授：你们怎么在上课接吻，这会影响别人的。 学生：我们是坐在后面一排，没人看见的，不会影响别人的。 教授：会影响我。	3
一天和同事散步，看到地上有一易拉罐，于是把罐子踹飞。 看到罐子被踹的老高，就边扭着腰边对身旁的同事说道：“我矫健吗？我矫健吗？” 过了好久同事才幽幽地说：“贱。”	1
绅士初次到伦敦，对警察说：我和妻子各自走失了，要是她经这里，你可叫她等在这里吗！ 警察：可是我不认识她呀！ 绅士：呀！一点不错！我真没有想到这事，那你叫她不要等了。	3
我弟不信，我姐又说道:你用肉眼看不到的细菌，别吃。 我弟说：那我用左眼看。｛肉眼-右眼｝	1
农夫：我晚上上床后常感觉发冷。 医生：我也有过，那时我会搂着我太太，就会暖和了。 农夫：这办法不错，但您太太什么时候方便呢？	3
一对夫妇在路旁开着一家客店。 一天，住进来一位货郎，贪财的丈夫想多捞几个钱，就让妻子在货郎的饭里边放了些健忘草，说：谁吃了这种草，都会忘事，货郎能忘什么呢？当然是他的担子！妻子照办了。 第二天一早货郎就走了。夫妻俩急忙跑到他放货担子的地方去看，可是担子已经不在了。妻子大骂丈夫：你这个笨蛋！还说那草灵呢，可他根本就没忘自己的担子！丈夫说：不会不灵的，他一定忘了什么东西！说着就在货郎住的客房里乱找起来。忽然妻子一拍脑门：哎，我想起来了！他忘了付房钱和饭钱了！	3
戏子出门，嘱其妻曰：同伴来，可拿出戏鼓，教他对对戏眼。妻误听，以为脱出屁股，教他对屁眼。同伴至，乃以后庭与之。伴问云：你家主公比我做法如何？妇云：好是好，只是急撮戏文，板还要上紧些。	2
小明在做眼保健操时对同桌说：我们的新老师好象对我们很客气，以后日子好过了。 新老师正好走过来，小明闭着眼，没看到，老师听到后说：别听他的，他闭着眼，说瞎话呢。	2
甲：女人专一还是男人专一？ 乙：这都不知道？女人最善变，男人最专一。 甲：为什么？ 乙：女人五十年代喜欢工人，六七十年代喜欢军人，八十年代喜欢诗人，九十年代喜欢富人，现在又喜欢上官人。还是男人最专一，无论哪个年代，喜欢的都只有长得漂亮、身材又好的年轻女人！	3
一男子正为女朋友的事闷闷不乐。 朋友问其：“哥们怎么了？女朋友出啥事了？” 男子抱怨道：“哎，我都吃了10多片避孕药了，为什么女朋友还是怀孕了？”	3
愚人节表白简直弱爆了，清明节表白才是王道！ 因为...万一被拒绝...可以说...啊，刚才被附体了！	3
主任不悦，正欲发火，这时有个青年站起来吼道：“大家都别吵了！” 全场里顿时安静下来。 主任心中颇为感动：毕竟有知音啊！ 那青年接着说道：“你们这么吵，把我都吵醒了！”	3
一个女人带着儿子和一个男人在餐馆吃饭。 妈妈问儿子：“好吃吗？”儿子说：“好吃。”这个男人就不停地往小男孩的碗里夹菜。 妈妈笑着说：“这个叔叔好不好？”儿子说：“恩！这几个叔叔都挺好的。” 妈妈咬着牙在桌底下踢了儿子一下说：“这孩子瞎说什么呢。”	3
超级强大，陪公司同事相亲听到的惊人语录！！！！ 前几天陪公司一同事去相亲，可不是我要去的，他非得叫我去，说见势不好让我想办法带他脱身。没想到女方也是两个人来，平衡了。 女孩倒是挺秀气，小家碧玉的，也挺谈得来，我决定先撤了。可是，陪女孩来的那个女的忽然注意到同事穿的鞋，盯着问：你穿的是增高鞋吧？那实际上倒不是增高鞋，只不过鞋底确实有点厚，看着象而已。 同事慌了，连忙说不是不是。 那你到底多高？ 176啊！ 有那么高么？这鞋就得5公分吧，你这不是骗人么！ 同事是个老实孩子，有点急了，脸涨得通红：咱找个地方量量。 算了吧，首先你相亲这态度就不端正，这还带弄虚作假的？ 同事憋了半天，忽然指着来相亲的那个女孩说道：她穿的是海绵内衣么？ 全体大惊！ 轮到来相亲的女孩脸涨得通红。 陪相亲女孩来的那个女的一时不知怎么回答，说了句：那又怎么样？ 你喜欢个高的，如果我喜欢胸大的呢？你说这算不算弄虚作假？ 靠。。当时心里佩服死他了，但觉得相亲这事是没戏了。 不过今天中午吃饭的时候，听说那个女孩好像后来给他留电话了，哈哈，这年头。。	3
